CRIM;ZN;INDUS;CHAS;NOX;RM;AGE;DIS;RAD;TAX;PTRATIO;LSTAT;target
824809;0;181;0;713;7393;993;24527;240;6660;202;1674;178
951363;0;181;0;713;6728;941;24961;240;6660;202;1871;149
475237;0;181;0;713;6525;865;24358;240;6660;202;1813;141
466883;0;181;0;713;5976;879;25806;240;6660;202;1901;127
820058;0;181;0;713;5936;803;27792;240;6660;202;1694;135
775223;0;181;0;713;6301;837;27831;240;6660;202;1623;149
680117;0;181;0;713;6081;844;27175;240;6660;202;147;200
481213;0;181;0;713;6701;900;25975;240;6660;202;1642;164
369311;0;181;0;713;6376;884;25671;240;6660;202;1465;177
665492;0;181;0;713;6317;830;27344;240;6660;202;1399;195
582115;0;181;0;713;6513;899;28016;240;6660;202;1029;202
783932;0;181;0;655;6209;654;29634;240;6660;202;1322;214
31636;0;181;0;655;5759;482;30665;240;6660;202;1413;199
377498;0;181;0;655;5952;847;28715;240;6660;202;1715;190
442228;0;181;0;584;6003;945;25403;240;6660;202;2132;191
155757;0;181;0;58;5926;710;29084;240;6660;202;1813;191
130751;0;181;0;58;5713;567;28237;240;6660;202;1476;201
434879;0;181;0;58;6167;840;30334;240;6660;202;1629;199
403841;0;181;0;532;6229;907;30993;240;6660;202;1287;196
356868;0;181;0;58;6437;750;28965;240;6660;202;1436;232
464689;0;181;0;614;698;676;25329;240;6660;202;1166;298
805579;0;181;0;584;5427;954;24298;240;6660;202;1814;138
639312;0;181;0;584;6162;974;2206;240;6660;202;241;133
487141;0;181;0;614;6484;936;23053;240;6660;202;1868;167
150234;0;181;0;614;5304;973;21007;240;6660;202;2491;120
10233;0;181;0;614;6185;967;21705;240;6660;202;1803;146
143337;0;181;0;614;6229;880;19512;240;6660;202;1311;214
582401;0;181;0;532;6242;647;34242;240;6660;202;1074;230
570818;0;181;0;532;675;749;33317;240;6660;202;774;237
573116;0;181;0;532;7061;770;34106;240;6660;202;701;250
281838;0;181;0;532;5762;403;40983;240;6660;202;1042;218
237857;0;181;0;583;5871;419;3724;240;6660;202;1334;206
367367;0;181;0;583;6312;519;39917;240;6660;202;1058;212
569175;0;181;0;583;6114;798;35459;240;6660;202;1498;191
483567;0;181;0;583;5905;532;31523;240;6660;202;1145;206
15086;0;2774;0;609;5454;927;18209;40;7110;201;1806;152
18337;0;2774;0;609;5414;983;17554;40;7110;201;2397;70
20746;0;2774;0;609;5093;980;18226;40;7110;201;2968;81
10574;0;2774;0;609;5983;988;18681;40;7110;201;1807;136
11132;0;2774;0;609;5983;835;21099;40;7110;201;1335;201
17331;0;969;0;585;5707;540;23817;60;3910;192;1201;218
27957;0;969;0;585;5926;426;23817;60;3910;192;1359;245
17899;0;969;0;585;567;288;27986;60;3910;192;176;231
2896;0;969;0;585;539;729;27986;60;3910;192;2114;197
26838;0;969;0;585;5794;706;28927;60;3910;192;141;183
23912;0;969;0;585;6019;653;24091;60;3910;192;1292;212
17783;0;969;0;585;5569;735;23999;60;3910;192;151;175
22438;0;969;0;585;6027;797;24982;60;3910;192;1433;168
6263;0;1193;0;573;6593;691;24786;10;2730;210;967;224
4527;0;1193;0;573;612;767;22875;10;2730;210;908;206
6076;0;1193;0;573;6976;910;21675;10;2730;210;564;239
10959;0;1193;0;573;6794;893;23889;10;2730;210;648;220
4741;0;1193;0;573;603;808;2505;10;2730;210;788;119
